,Level,XP,HD,THAC0,SD,SW,SP,SB,SS,S1,D2,S3,S4,S5,S6
1,1,0,1d8,19,12,13,14,15,16,0,0,0,0,0,0
2,2,2000,2d8,19,12,13,14,15,16,0,0,0,0,0,0
3,3,4000,3d8,19,12,13,14,15,16,0,0,0,0,0,0
4,4,8000,4d8,17,10,11,12,13,14,0,0,0,0,0,0
5,5,16000,5d8,17,10,11,12,13,14,0,0,0,0,0,0
6,6,32000,6d8,17,10,11,12,13,14,0,0,0,0,0,0
7,7,64000,7d8,14,8,9,10,10,12,0,0,0,0,0,0
8,8,120000,8d8,14,8,9,10,10,12,0,0,0,0,0,0
9,9,240000,9d8,14,8,9,10,10,12,0,0,0,0,0,0
10,10,360000,9d8+2,12,6,7,8,8,10,0,0,0,0,0,0
11,11,480000,9d8+4,12,6,7,8,8,10,0,0,0,0,0,0
12,12,600000,9d8+6,12,6,7,8,8,10,0,0,0,0,0,0
13,13,720000,9d8+8,10,4,5,6,5,8,0,0,0,0,0,0
14,14,840000,9d8+10,10,4,5,6,5,8,0,0,0,0,0,0
