,Level,XP,HD,THAC0,SD,SW,SP,SB,SS,S1,S2,S3,S4,S5,S6
1,1,0,1d4,19,13,14,13,16,15,1,0,0,0,0,0
2,2,2500,2d4,19,13,14,13,16,15,2,0,0,0,0,0
3,3,5000,3d4,19,13,14,13,16,15,2,1,0,0,0,0
4,4,10000,4d4,19,13,14,13,16,15,2,2,0,0,0,0
5,5,20000,5d4,19,13,14,13,16,15,2,2,1,0,0,0
6,6,40000,6d4,17,11,12,11,14,12,2,2,2,0,0,0
7,7,80000,7d4,17,11,12,11,14,12,3,2,2,1,0,0
8,8,150000,8d4,17,11,12,11,14,12,3,3,2,2,0,0
9,9,300000,9d4,17,11,12,11,14,12,3,3,3,2,1,0
10,10,450000,9d4+1,17,11,12,11,14,12,3,3,3,3,2,0
11,11,600000,9d4+2,14,8,9,8,11,8,4,3,3,3,2,1
12,12,750000,9d4+3,14,8,9,8,11,8,4,4,3,3,3,2
13,13,900000,9d4+4,14,8,9,8,11,8,4,4,4,3,3,3
14,14,1050000,9d4+5,14,8,9,8,11,8,4,4,4,4,3,3
